OGA_ID	sample_ID	station	depth	size fraction	latitude	longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
18	TARA_A100000595	TARA_018	SRF	[0.8-5µm]	35.759	14.2574	TARA_018_SRF_0.8-5	TARA_018	ERS488338	ERR868393|ERR1712185|ERR562643	SAMEA2619675	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000595	2009-11-02T08:13	-793	21.48665	37.89575	26.565263	0.3442	0.0018	5	19.262582	208.245		0.001387895	0.009119561	0.030015622	0.010272223		315.859	43.042594909668	0.000088988130301004	0.001	0.0103		0.0228	0		0.01833	0.0256	0.118	0.5571	51	80	61	60	221			0.455844					0.0053	0.0033	0.0103	0	0.0428	0.0006	0.0541	0	35.759	14.2574	0	autumn	middle	-0.124391	0.066158	15.222222
22	TARA_A100000604	TARA_018	DCM	[0.8-5µm]	35.7528	14.2765	TARA_018_DCM_0.8-5	TARA_018	ERS488352	ERR562543|ERR1711896|ERR1712139|ERR868488	SAMEA2619684	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000604	2009-11-02T14:07	-818	18.30575	37.84945	27.375	1.5112	0.024	60	0.437326	238.694625		0.001387895	0.009119561	0.030015622	0.010272223		315.859	43.8789577484131	0.00009235052857548	0.0017	0.0118		0.0452	0		0.0263	0.0131	0.038	0.58135	50	82	60	58	580			0.455844					0.0136	0.0055	0.0118	0	0.0825	0	0.0821	0	35.7528	14.2765	0	autumn	middle	-0.124391	0.066158	15.222222
23	TARA_A100000695	TARA_022	DCM	[20-180µm]	39.8661	17.3868	TARA_022_DCM_20-180	TARA_022	ERS488464	ERR1712150|ERR562502|ERR1726743|ERR1726836|ERR1712043	SAMEA2657048	SEQ-(500mL-or-15min)_N20-180	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	20	180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000695	2009-11-16T17:03	-1710	15.384667	38.295667	28.429333	3.4429	0.0281	60	0.014337	219.23575		0.001388038	0.001792418	0.026501298	0.063348597			72.9833297729492	0.000241041685512755	0.003	0.0623		0.0439	0.0087		0.1298	0.01065	0.2935		16	35	64	17	199		0.321338	0.536506					0.045	0.0086	0.0623	0.0053	0.1264	0.0069	0.0391	0	39.8661	17.3868	0	autumn	middle	0.054261	0	0
24	TARA_A100000696	TARA_022	DCM	[5-20µm]	39.5705	17.4101	TARA_022_DCM_5-20	TARA_022	ERS488461	ERR1712076|ERR562548|ERR1712226|ERR1726715	SAMEA2619755	SEQ-(500mL-or-15min)_W5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000696	2009-11-16T14:53	-1728	16.974267	37.963867	27.797967	26.8985	0.0892	30	0.583875	221.551583		0.001388038	0.001792418	0.026501298	0.063348597					0.0032	0.0587		0.07465	0.0082		0.025075	0.010725	0.029	1.59855	37	13	59	13	707		0.321338	0.536506					0.0603	0.01235	0.0587	0.0059	0.22345	0.0052	0.09495	0	39.5705	17.4101	0	autumn	middle	0.054261	0	0
25	TARA_A100000698	TARA_022	DCM	[0.8-5µm]	39.5705	17.4101	TARA_022_DCM_0.8-5	TARA_022	ERS488460	ERR1719303|ERR868496|ERR1719473|ERR562405	SAMEA2619754	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000698	2009-11-16T14:53	-1728	16.974267	37.963867	27.797967	26.8985	0.0892	30	0.583875	221.551583		0.001388038	0.001792418	0.026501298	0.063348597					0.0032	0.0587		0.07465	0.0082		0.025075	0.010725	0.029	1.59855	37	13	59	13	707		0.321338	0.536506					0.0603	0.01235	0.0587	0.0059	0.22345	0.0052	0.09495	0	39.5705	17.4101	0	autumn	middle	0.054261	0	0
26	TARA_A100000700	TARA_022	DCM	[180-2000µm]	39.8607	17.4105	TARA_022_DCM_180-2000	TARA_022	ERS506046	ERR1712074|ERR1712148|ERR1726718|ERR566174	SAMEA2661639	SEQ-(500mL-or-15min)_N180-2000	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	180	2000	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000700	2009-11-16T09:37	-1758	15.384667	38.295667	28.429333	2.7994	0.0281	60	0.014337	219.23575		0.001388038	0.001792418	0.026501298	0.063348597			76.4904479980469	0.000276612947345711	0.003	0.0623		0.0439	0.0087		0.1298	0.01065	0.2935		48	34	55	14	207								0.045	0.0086	0.0623	0.0053	0.1264	0.0069	0.0391	0	39.8607	17.4105	0	autumn	middle	0.054261	0	0
27	TARA_A100000759	TARA_020	SRF	[180-2000µm]	34.4064	15.043	TARA_020_SRF_180-2000	TARA_020	ERS488420	ERR1726786|ERR1711905|ERR562414|ERR1712237	SAMEA2657025	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000759	2009-11-12T17:44	-312	21.44155	38.38845	26.954662	13.1377	-0.0219	5	19.221241	216.714125		0.001387976	0.008846248	0.041098469	0.015244373			37.759334564209	0.000159822397108655											63	93	73	69	13																34.4064	15.043	0	autumn	middle	0.051438	0.087535	1.333333
29	TARA_A100001638	TARA_030	SRF	[5-20µm]	33.9179	32.898	TARA_030_SRF_5-20	TARA_030	ERS478025	ERR318602|ERR550394|ERR538178|ERR550389|ERR562656|ERR318589	SAMEA2591116	SEQ-(500mL-or-15min)_W5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100001638	2009-12-15T10:41	-1497	20.4425	39.42311	28.0195	0.33508	0.01488	5	14.994186	207.61355	0.188705	0.001388157	0.003270233	0.034886073	0.054155687		288.505	36.4045867919922	0.000038366953049262	0	0.005		0.0106	0		0.00125	0.00025	0.0455	0.816	50	73	59	55	151	193	0.239124	0.393525	3185.33354	6.378839697	12611.5	0.753523663	0.0104	0.0012	0.005	0	0.0354	0	0.0369	0	33.9179	32.898	0	autumn	late	-0.309549	0.097233	2.777778
31	TARA_A100001646	TARA_030	SRF	[20-180µm]	33.9178	32.8849	TARA_030_SRF_20-180	TARA_030	ERS478033	ERR550525|ERR562515|ERR318585|ERR318616|ERR538189	SAMEA2611384	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100001646	2009-12-15T11:13	-1497	20.4425	39.42311	28.0195	0.8731	0.01488	5	14.994186	207.61355	0.188705	0.001388157	0.003270233	0.034886073	0.054155687		288.505	36.4045867919922	0.00019103868817183	0	0.005		0.0106	0		0.00125	0.00025	0.0455	0.816	50	73	59	55	151	193	0.239124	0.393525	3185.33354	6.378839697	12611.5	0.753523663	0.0104	0.0012	0.005	0	0.0354	0	0.0369	0	33.9178	32.8849	0	autumn	late	-0.309549	0.097233	2.777778
33	TARA_A200000123	TARA_007	SRF	[0.8-5µm]	37.051	1.9378	TARA_007_SRF_0.8-5	TARA_007	ERS477934	ERR315820|ERR315802|ERR315800|ERR315798|ERR315822|ERR315825|ERR315812|ERR315805|ERR562530|ERR550403|ERR315821|ERR315824|ERR315815|ERR315817|ERR550396|ERR315801|ERR315814	SAMEA2591060	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A200000123	2009-09-23T12:50	-2784	23.8141	37.522	25.61115	2.1779	0.065832	9	1.794369			0.001387777	0.01524472	0.033489773	0.006918471		356.9545			0.00065	0.00695		0.0067	0		0.0445	0.0475	0.14325	0.7935	18	43	45				0.635715	0.5693	3872.353048	6.525141459	15495.1	0.746406446	0.0045	0.002	0.00695	0	0.02065	0	0.0507	0	37.051	1.9378	0	autumn	early	-1.3813	0	0
35	TARA_A200000150	TARA_007	DCM	[5-20µm]	37.0541	1.9478	TARA_007_DCM_5-20	TARA_007	ERS477957	ERR315799|ERR550388|ERR315806|ERR315818|ERR315816|ERR315804	SAMEA2591078	SEQ-(500mL-or-15min)_W5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A200000150	2009-09-23T16:08	-2784	17.521075	37.1036	27.003675	2.3448	0.33747	42	0.188942			0.001387777	0.01524472	0.033489773	0.006918471		356.9545			0.0265	0.0256		0.0273	0.0243		0	0.0065	0.028	0.4985	18	43	45				0.635715	0.5693	4786.075692	6.801171081	16416.5	0.750016278	0.0181	0.0204	0.0256	0.0539	0.0778	0.0169	0.1317	0	37.0541	1.9478	0	autumn	early	-1.3813	0	0
36	TARA_A200000158	TARA_007	DCM	[0.8-5µm]	37.0541	1.9478	TARA_007_DCM_0.8-5	TARA_007	ERS477956	ERR315803|ERR538182|ERR562726|ERR550537|ERR315811	SAMEA2591077	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A200000158	2009-09-23T16:08	-2784	17.521075	37.1036	27.003675	2.3448	0.33747	42	0.188942			0.001387777	0.01524472	0.033489773	0.006918471		356.9545			0.0265	0.0256		0.0273	0.0243		0	0.0065	0.028	0.4985	18	43	45				0.635715	0.5693	4786.075692	6.801171081	16416.5	0.750016278	0.0181	0.0204	0.0256	0.0539	0.0778	0.0169	0.1317	0	37.0541	1.9478	0	autumn	early	-1.3813	0	0
38	TARA_E400007200	TARA_026	SRF	[0.8-20µm]	38.4761	20.1705	TARA_026_SRF_0.8-20	TARA_026	ERS488534	ERR562371|ERR1712006|ERR868402|ERR1711918	SAMEA2619798	SEQ-(100L-or-15min)_W0.8-20	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_E400007200	2009-11-24T07:40	-2869	19.1055	38.360675	27.564912	0.95427	0.033	5	10.986017	213.708375		0.001387959	0.002741388	0.030073045	0.037082328			65.525821685791	0.000066866481574834			11.585393			8.12601	0.0075	0.0095	0.0225	1.02675	48	55	63	60	203		0.260609	0.464988													38.4761	20.1705	0	autumn	late		0	0
41	TARA_G000000124	TARA_047	DCM	[0.8-20µm]	-2.0465	72.1568	TARA_047_DCM_0.8-20	TARA_047	ERS489312	ERR1712026|ERR1759714|ERR1726897|ERR1711919	SAMEA2620403	SEQ-(100L-or-15min)_W0.8-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	20	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_G000000124	2010-04-16T04:43	-4563	27.61325	35.384875	22.81435	0.003704	0.0588	55	0.795409	182.6095	0	0.001313573	0.016535839	0.008396721	0.008090431			34.3683910369873	0.000165810233738739	0.0008	0.00225		0.00685	0		0.006	0.199	0.221	2.8465	23	60	57	30	737	112							0.008	0.0031	0.00225	0.0005	0.0234	0	0.07475	0	-2.0465	72.1568	0	autumn	early	0.013305	0.045411	0
42	TARA_N000000006	TARA_039	SRF	[0.8-5µm]	18.5918	66.622	TARA_039_SRF_0.8-5	TARA_039	ERS488885	ERR1756165|ERR868397|ERR1719267|ERR1719502|ERR1756062|ERR868408	SAMEA2620071	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_N000000006	2010-03-18T04:27	-3272	27.089113	36.310588	23.677262	9.9009	0.0258	5	26.627413	193.065313	0	0.00138772	0.0255102	0.004728645	0.003323513	2.09529	533.091	84.6746406555176	0.000236670312006027	0	0.0035		0.0034	0		0.0065	0.2335	0.0425	1.515	28	24	34	14	689	109	0.386281	0.51759					0.0054	0.0025	0.0035	0	0.0158	0	0.07315	0	18.5918	66.622	0	winter	late	0.403157		2.25
43	TARA_N000000007	TARA_039	DCM	[0.8-5µm]	18.5839	66.4727	TARA_039_DCM_0.8-5	TARA_039	ERS488924	ERR1711861|ERR1756345|ERR868454|ERR1755932|ERR1712196	SAMEA2620089	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_N000000007	2010-03-18T11:33	-3265	26.692435	36.40162	23.87718	2.0758	0.12402	25	4.100441	187.47615	0	0.00138772	0.0255102	0.004728645	0.003323513	2.1758	533.091	81.8085517883301	0.000228897042688914	0.00115	0.00545		0.00925	0		0.011	0.2465	0.0675	1.2415	26	41	3	13	480	124	0.386281	0.51759					0.01255	0.00495	0.00545	0.00095	0.03505	0	0.0962	0	18.5839	66.4727	0	winter	late	0.403157		2.25
44	TARA_N000000008	TARA_039	SRF	[5-20µm]	18.5918	66.622	TARA_039_SRF_5-20	TARA_039	ERS488886	ERR562606|ERR1712211|ERR1700899|ERR1712107|ERR562536|ERR562666|ERR562456|ERR562422	SAMEA2620072	SEQ-(500mL-or-15min)_W5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_N000000008	2010-03-18T04:27	-3272	27.089113	36.310588	23.677262	9.9009	0.0258	5	26.627413	193.065313	0	0.00138772	0.0255102	0.004728645	0.003323513	2.09529	533.091	84.6746406555176	0.000236670312006027	0	0.0035		0.0034	0		0.0065	0.2335	0.0425	1.515	28	24	34	14	689	109	0.386281	0.51759					0.0054	0.0025	0.0035	0	0.0158	0	0.07315	0	18.5918	66.622	0	winter	late	0.403157		2.25
45	TARA_N000000011	TARA_039	SRF	[20-180µm]	18.5667	66.522	TARA_039_SRF_20-180	TARA_039	ERS488896	ERR562377|ERR562609|ERR562526|ERR1726979|ERR1712209|ERR1712012|ERR562497|ERR1726587|ERR562668	SAMEA2657110	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_N000000011	2010-03-18T05:05	-3272	27.089113	36.310588	23.677262	1.0356	0.0258	5	28.037757	193.065313	0	0.00138772	0.0255102	0.004728645	0.003323513	2.09529	533.091	80.2851982116699	0.000235126572079025	0	0.0035		0.0034	0		0.0065	0.2335	0.0425	1.515	28	24	34	14	689	109	0.386281	0.51759					0.0054	0.0025	0.0035	0	0.0158	0	0.07315	0	18.5667	66.522	0	winter	late	0.403157		2.25
